survey date,block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
2/17/23,D1,1,A,buffer,,,,,,
2/17/23,D1,1,B,buffer,,,,,,
2/17/23,D1,2,A,buffer,,,,,,
2/17/23,D1,2,B,buffer,,,,,,
2/17/23,D1,3,A,WL2,4,11,1.5,1.4,N,
2/17/23,D1,3,B,CP2,10,4,-,-,-,Dead
2/17/23,D1,4,A,YO11,4,10,-,-,-,Dead
2/17/23,D1,4,B,CC,5,12,3.4,1.5,N,
2/17/23,D1,5,A,FR,3,6,3.5,3,N,
2/17/23,D1,5,B,BH,5,24,4.3,2.5,N,
2/17/23,D1,6,A,IH,6,12,3.3,3.6,N,
2/17/23,D1,6,B,CC,3,10,-,-,-,Dead
2/17/23,D1,7,A,WL2,1,9,-,-,-,Dead
2/17/23,D1,7,B,CP2,8,4,-,-,-,Dead
2/17/23,D1,8,A,LV3,7,12,-,-,-,Dead
2/17/23,D1,8,B,BH,6,7,2.9,5.1,N,
2/17/23,D1,9,A,SC,4,8,3.8,4.8,Y,
2/17/23,D1,9,B,VTR,2,5,-,-,-,Dead
2/17/23,D1,10,A,SQ3,4,4,0.1,1.3,N,
2/17/23,D1,10,B,TM2,2,4,8.1,5.2,Y,
2/17/23,D1,11,A,WL1,4,10,1.8,2.4,N,
2/17/23,D1,11,B,BH,7,4,3.5,3.1,N,
2/17/23,D1,12,A,CC,7,4,4.3,4,N,
2/17/23,D1,12,B,TM2,5,9,6,4.5,N,
2/17/23,D1,13,A,CP2,5,8,-,-,-,Dead
2/17/23,D1,13,B,WL1,1,3,4.3,2.4,N,
2/17/23,D1,14,A,WL1,3,6,2.1,3.6,N,
2/17/23,D1,14,B,YO7,4,7,1.6,1.7,N,
2/17/23,D1,15,A,IH,4,18,2.3,1.7,N,
2/17/23,D1,15,B,WL1,2,14,1.5,1,N,
2/17/23,D1,16,A,WL1,7,1,-,-,-,Dead
2/17/23,D1,16,B,TM2,5,3,4.1,1,N,
2/17/23,D1,17,A,DPR,6,4,-,-,-,Dead
2/17/23,D1,17,B,WL1,7,15,2.1,1.6,Y,
2/17/23,D1,18,A,SC,6,10,3.1,1.3,Y,Stem rot
2/17/23,D1,18,B,IH,4,10,5.3,2.5,N,
2/17/23,D1,19,A,SQ2,6,2,-,-,-,Dead
2/17/23,D1,19,B,BH,2,8,3.3,2.4,N,
2/17/23,D1,20,A,BH,4,2,3.9,4.5,Y,
2/17/23,D1,20,B,WL2,5,6,2.9,1.3,Y,
2/17/23,D1,21,A,SQ2,5,3,-,-,-,Dead
2/17/23,D1,21,B,LV3,6,3,0.7,0.1,N,
2/17/23,D2,22,A,CP2,9,2,-,-,-,Dead
2/17/23,D2,22,B,SQ1,4,4,2.1,2.9,Y,
2/17/23,D2,23,A,YO11,3,12,-,-,-,Dead
2/17/23,D2,23,B,CP2,10,3,3.3,2,N,
2/17/23,D2,24,A,.VTR,7,6,-,-,N,Dead
2/17/23,D2,24,B,IH,6,6,2.1,0.8,N,
2/17/23,D2,25,A,DPR,2,7,8.9,2.5,N,
2/17/23,D2,25,B,CP2,2,1,0.7,2.3,N,
2/17/23,D2,26,A,TM2,1,2,2.6,1.1,N,
2/17/23,D2,26,B,BH,5,15,3,5,N,
2/17/23,D2,27,A,SQ2,4,6,-,-,-,Dead
2/17/23,D2,27,B,DPR,4,9,7.2,2.6,N,
2/17/23,D2,28,A,LV3,8,7,-,-,-,Dead
2/17/23,D2,28,B,CC,2,13,4,1.3,N,
2/17/23,D2,29,A,IH,7,3,5,6.6,N,
2/17/23,D2,29,B,YO11,7,2,-,-,-,Dead
2/17/23,D2,30,A,WL1,7,26,2.1,1.8,Y,
2/17/23,D2,30,B,BH,4,3,3.9,3.6,N,
2/17/23,D2,31,A,WL2,1,7,-,-,-,Dead
2/17/23,D2,31,B,TM2,4,11,6.4,3.9,Y,
2/17/23,D2,32,A,LV3,2,3,0.7,1.8,N,
2/17/23,D2,32,B,IH,4,19,2.7,2.1,N,
2/17/23,D2,33,A,WL1,2,11,-,-,-,Dead
2/17/23,D2,33,B,BH,6,8,2.2,5,N,
2/17/23,D2,34,A,LV3,1,7,-,-,-,Dead
2/17/23,D2,34,B,WL1,1,21,2.4,2.8,N,
2/17/23,D2,35,A,CC,1,11,5.5,2.3,N,
2/17/23,D2,35,B,BH,5,25,1.9,3,N,
2/17/23,D2,36,A,YO8,2,2,-,-,-,Dead
2/17/23,D2,36,B,WL1,2,15,1.1,2.9,Y,
